Number,Company,Website,Industry,Segment,Location,Why They Fit,Estimated Insurance Spend,Decision Maker Titles,Clay Lookup Keywords
11,Boka Restaurant Group,bokagroupchicago.com,Restaurant Group,Hospitality Groups,"Illinois (HQ), Multi-city","18 James Beard noms, Chicago/NYC/LA presence",High ($2M+),"CFO, General Counsel",restaurant Boka Group Chicago
12,Hogsalt Hospitality,hogsalt.com,Restaurant Group,Hospitality Groups,"Illinois (HQ), Regional","Au Cheval, Bavette's, high-end Chicago concepts",High ($1M+),"CFO, VP Operations",restaurant Hogsalt Au Cheval Chicago
13,Columbus Hospitality Group,columbushospitality.com,Restaurant Group,Hospitality Groups,"Massachusetts (HQ), Regional","Mistral, Sorellina, Ostra, Mooo - upscale Boston dining",High ($1M+),"CFO, General Counsel",restaurant Columbus Hospitality Boston
14,COJE Management Group,cojemanagement.com,Restaurant Group,Hospitality Groups,"Massachusetts (HQ), Regional","Yvonne's, Ruka, Mariel - stylish Boston concepts since 2014",Medium-High ($500K+),"CFO, VP Operations",restaurant COJE Boston
15,Himmel Hospitality Group,himmelhospitality.com,Restaurant Group,Hospitality Groups,"Massachusetts (HQ), Regional","Grill 23, Harvest, Bistro du Midi - fine dining Boston",High ($1M+),"CFO, Director of Operations",restaurant Himmel Boston Grill 23
16,The Briar Group,thebriargroup.com,Restaurant Group,Hospitality Groups,"Massachusetts (HQ), Regional","14 concepts throughout Boston area since 1989",Medium-High ($500K+),"CFO, VP Operations",restaurant Briar Group Boston
17,Harwood Hospitality Group,harwoodhospitality.com,Restaurant/Nightlife,Hospitality Groups,"Texas (HQ), Regional","11+ venues in Harwood District Dallas, expanding",High ($1M+),"CFO, VP Operations",restaurant Harwood Dallas
18,Berg Hospitality,berghospitality.com,Restaurant Group,Hospitality Groups,"Texas (HQ), Regional","B&B Butchers, Houston/Fort Worth, steakhouse concepts",Medium-High ($500K+),"CFO, Director of Operations",restaurant Berg B&B Butchers Houston
19,Emmer & Rye Hospitality,emmerandrye.com,Restaurant Group,Hospitality Groups,"Texas (HQ), Regional","Michelin star (Hestia), Austin/San Antonio, sustainability focus",Medium-High ($500K+),"CFO, VP Operations",restaurant Emmer Rye Austin Hestia
20,Goodnight Hospitality,goodnighthospitality.com,Restaurant Group,Hospitality Groups,"Texas (HQ), Regional","Goodnight Charlie's, Rosie Cannonball, Houston farm-to-table",Medium-High ($300K+),"CFO, Director of Operations",restaurant Goodnight Houston
21,Southern Proper Hospitality,sphospitality.com,Restaurant Group,Hospitality Groups,"Georgia (HQ), Southeast","23 restaurants, Atlanta-based, Tin Lizzy's expanding",High ($1M+),"CFO, VP Risk Management",restaurant Southern Proper Atlanta
22,Fifth Group Restaurants,fifthgroup.com,Restaurant Group,Hospitality Groups,"Georgia (HQ), Regional","Atlanta hospitality leader, multiple concepts",Medium-High ($500K+),"CFO, VP Operations",restaurant Fifth Group Atlanta
23,K5 Hospitality,k5hospitality.com,Restaurant Group,Hospitality Groups,"Georgia (HQ), Regional","Award-winning Midtown/Buckhead Atlanta, chef-driven",Medium-High ($300K+),"CFO, Director of Operations",restaurant K5 Atlanta
24,4Top Hospitality,4tophospitality.com,Restaurant Group,Hospitality Groups,"Tennessee (HQ), Southeast","16 locations, employee-owned, 6 brands, Nashville/Southeast",Medium-High ($500K+),"CFO, VP Operations",restaurant 4Top Nashville
25,Strategic Hospitality,strategichospitality.com,Restaurant Group,Hospitality Groups,"Tennessee (HQ), Regional","Nashville's distinctive restaurants and bars",Medium-High ($300K+),"CFO, Director of Operations",restaurant Strategic Nashville
26,Sage Restaurant Group,sagerg.com,Restaurant Group,Hospitality Groups,"Colorado (HQ), Multi-city","Denver/Cleveland/Philly, Urban Farmer/Hello Betty",Medium-High ($500K+),"CFO, VP Operations",restaurant Sage Denver
27,Cohn Restaurant Group,cohnrestaurants.com,Restaurant Group,Hospitality Groups,"California (HQ), Regional","25 concepts, San Diego/Long Beach/Maui, family-owned since 1981",High ($1M+),"CFO, General Counsel",restaurant Cohn San Diego
28,Breakwater Hospitality,breakwaterhg.com,Restaurant/Nightlife,Hospitality Groups,"Florida (HQ), Regional","7 concepts, 2M+ guests/year, Miami outdoor venues",High ($1M+),"CFO, VP Operations",restaurant Breakwater Miami
29,Vida & Estilo Restaurant Group,vidayestilo.com,Restaurant Group,Hospitality Groups,"Florida (HQ), Regional","10+ concepts South Florida, 3 in Vegas, since 1996",Medium-High ($500K+),"CFO, Director of Operations",restaurant Vida Estilo Miami
30,Ciccio Restaurant Group,ciccios.com,Restaurant Group,Hospitality Groups,"Florida (HQ), Regional","Tampa/Orlando/Miami, multiple concepts since 1990",Medium-High ($500K+),"CFO, VP Operations",restaurant Ciccio Tampa Florida
31,Grove Bay Hospitality,grovebayhospitality.com,Restaurant Group,Hospitality Groups,"Florida (HQ), Regional","Miami restaurant portfolio",Medium-High ($300K+),"CFO, Director of Operations",restaurant Grove Bay Miami
32,Atlas Restaurant Group,atlasrestaurantgroup.com,Restaurant/Lifestyle,Hospitality Groups,"Maryland (HQ), Multi-city","34 properties, Baltimore/Houston/Boca Raton",High ($2M+),"CFO, VP Risk Management, General Counsel",restaurant Atlas Baltimore
33,McNellie's Group,mcnellies.com,Restaurant Group,Hospitality Groups,"Oklahoma (HQ), Regional","Oklahoma hospitality, expanding 2025+",Medium-High ($300K+),"CFO, VP Operations",restaurant McNellie's Oklahoma
34,Alliance Hospitality Group,alliancehg.com,Restaurant Group,Hospitality Groups,"Regional","20 years excellence, multiple concepts",Medium-High ($300K+),"CFO, Director of Operations",restaurant Alliance Hospitality
35,Block 16 Hospitality,block16hospitality.com,Restaurant Group,Hospitality Groups,"Nevada (HQ), Regional","Multiple Las Vegas concepts",Medium-High ($300K+),"CFO, VP Operations",restaurant Block 16 Vegas
36,sbe Entertainment,sbe.com,Restaurant/Hotel,Hospitality Groups,"California (HQ), Nationwide","Hotel and restaurant lifestyle brand, global presence",Very High ($5M+),"CFO, Chief Risk Officer, General Counsel",restaurant hotel sbe Entertainment
