Account Name,Domain,Industry Category,Score,Why This Fits BroadRange,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
Burrow,burrow.com,Furniture - DTC,9,"Modular furniture DTC brand, raised $14M Series A, shipping bulky sectionals nationwide","DTC furniture requiring specialized warehousing, white-glove delivery, reverse logistics for returns","Furniture specialty at BroadRange, bulky products, DTC fulfillment, UltraFlex™ for seasonal inventory","$14M Series A, DTC furniture leader"
Joybird,joybird.com,Furniture - Custom,8,"Custom furniture manufacturer (acquired by La-Z-Boy 2018), DTC + showroom model, high-touch fulfillment","Custom furniture built-to-order, need warehousing for components + finished goods, white-glove delivery","Furniture vertical, custom manufacturing = complex logistics, showroom + DTC model","La-Z-Boy acquisition, scaling operations"
Outer,liveouter.com,Outdoor Furniture,8,"DTC outdoor furniture brand, raised $10.5M Series A, heavy/bulky patio sets, neighborhood showroom model","Outdoor furniture (very bulky), seasonal inventory surges, DTC + neighborhood showrooms logistics","Furniture + outdoor categories, bulky products, seasonal warehousing needs (UltraFlex™ advantage)","$10.5M Series A, DTC outdoor leader"
Floyd,floydhome.com,Furniture - Modular,7,"Modular furniture DTC brand (Detroit-based), tool-free assembly, sustainable focus, scaling production","Furniture components + finished goods, reverse logistics for returns, expanding beyond DTC to retail","Furniture vertical, modular = component warehousing, Detroit to national distribution needs","Venture-backed, sustainable furniture"
REI Co-op,rei.com,Outdoor Retail,9,"Opening 10 new stores in 2024 + more in 2025, omnichannel expansion, need distribution for store rollout","Expanding physical retail + eCommerce, outdoor gear is bulky, need regional distribution for new stores","Outdoor recreation category, bulky products (kayaks, tents, bikes), retail expansion = distribution needs","$3.9B revenue, store expansion"
Yeti,yeti.com,Outdoor Coolers,8,"$1.6B public company, coolers/drinkware, DTC + retail (Dick's, REI), heavy products, seasonal demand","Premium coolers are extremely heavy/bulky, seasonal inventory surges, DTC + wholesale distribution","Outdoor category, bulky/heavy products, seasonal warehousing, omnichannel distribution","$1.6B revenue, public company"
Cotopaxi,cotopaxi.com,Outdoor Apparel/Gear,7,"B Corp outdoor brand, sustainable focus, retail expansion, backpacks/gear/apparel, omnichannel","Scaling from DTC to retail partnerships, outdoor gear warehousing, sustainable supply chain focus","Outdoor recreation, bulky gear products, retail expansion, values-driven brand (B Corp like REI)","Venture-backed, retail partnerships"
Midi Health,jointhemidi.com,Women's Health,9,"$60M Series B (Apr 2024), menopause care telehealth + at-home diagnostic kits, scaling fulfillment","Medical device kits for at-home testing, HIPAA compliance, DTC fulfillment to patients nationwide","Healthcare vertical (BroadRange has compliance expertise), medical device distribution, telehealth growth","$60M Series B, telehealth + devices"
Flo Health,flo.health,FemTech - Women's Health,9,"$200M Series C (Jul 2024), first European FemTech unicorn ($1B+ valuation), at-home testing kits","Period tracking app + at-home hormone testing kits, medical device distribution, international expansion","Healthcare compliance, medical device fulfillment, European brand expanding to US (need US 3PL)","$1B+ valuation, $200M Series C"
Hims & Hers,forhims.com,Telehealth/DTC Pharmacy,8,"Public company ($6B market cap), telehealth + DTC pharmacy, medications/supplements/devices shipped nationwide","Pharmacy fulfillment (temperature control?), medical devices, supplements, high-volume DTC logistics","Healthcare vertical, compliance requirements, high-volume DTC fulfillment, public company standards","$6B market cap, public company"
Parts Authority,partsauthority.com,Automotive Aftermarket,8,"Regional auto parts distributor expanding warehouses, eCommerce growth, competing with AutoZone/O'Reilly","Auto parts warehousing (100K+ SKUs), regional expansion, eCommerce fulfillment, same-day delivery pressure","Automotive aftermarket vertical, parts distribution, regional warehouse expansion needs BroadRange network","Regional leader, eCommerce growth"
1A Auto,1aauto.com,Automotive Parts - DTC,7,"DTC auto parts eCommerce, YouTube DIY presence, shipping heavy parts (engines, transmissions) nationwide","Heavy automotive parts (engines, transmissions), DTC fulfillment, returns/reverse logistics for wrong parts","Automotive aftermarket, heavy/bulky parts, DTC model, BroadRange's auto parts expertise","DTC leader, YouTube-driven growth"
Caterpillar Rental Store,catrentalstore.com,Equipment Rental,8,"Caterpillar's rental division, construction equipment rentals, need reverse logistics + maintenance warehousing","Equipment rental = constant inbound/outbound, maintenance/refurbishment warehousing, fleet logistics","Heavy Equipment vertical (BroadRange specialty), reverse logistics, equipment storage/distribution","Caterpillar-backed, rental growth"
United Rentals,unitedrentals.com,Equipment Rental,7,"Largest equipment rental company ($14B revenue), expanding rental fleet, need maintenance/storage facilities","Equipment fleet storage, reverse logistics, maintenance operations, regional depot expansion","Heavy Equipment category, specialized storage, rental model = high velocity logistics","$14B revenue, public company"
Boxed,boxed.com,Private Label eCommerce,8,"Bulk eCommerce (Costco model), private label products (Prince & Spring brand), warehouse club online","Private label manufacturing + fulfillment, bulk products, Prince & Spring brand warehousing/distribution","Private Label vertical (BroadRange has co-packing), eCommerce fulfillment, bulk products","Public company (SPAC), private label focus"
